Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0030563	1	0	0	0	0	0	1	0	0	0	0	0	0.08	0	0	0.506	-0.982	-0.242	0.809054835068777	NA	0	37.5268	10	10	TRUE	0.1276
FBgn0030566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0030569	11	1	2	16	4	3	6	2	3	8	6	4	4.56	4	6	1.653	0.725	0.73	0.465370274773748	NA	0	0.7028	0.4777	0.4777	TRUE	0.6315
FBgn0030570	0	0	1	0	0	0	0	0	1	0	0	0	0.24	0	0	0.404	-1.309	-0.323	0.746872947441743	NA	0	13.2731	10	10	TRUE	0.5556
FBgn0030571	500	141	181	435	232	209	252	220	258	222	324	256	255.43	243	267	1.088	0.122	0.632	0.527389292834887	0.861106042984857	0.0187	0.0252	0.0226	0.0226	TRUE	0.3702
FBgn0030572	689	198	253	583	226	267	347	309	360	297	316	327	326.27	339	313	0.921	-0.119	-0.781	0.434558409577483	0.823009090815785	0	0.0225	0.0135	0.0135	TRUE	0.0576
FBgn0030573	74	20	25	89	21	31	37	31	36	45	29	38	36.15	35	37	1.093	0.129	0.354	0.723524525374788	0.932480311798118	0	0.1	0.0665	0.0665	TRUE	0.2509
FBgn0030574	29	11	10	48	11	20	15	17	14	24	15	25	18.4	15	21	1.428	0.514	1.042	0.297184877216829	0.716073947829692	0	0.184	0.117	0.117	TRUE	0.2517
FBgn0030575	84	26	35	127	53	48	42	41	50	65	74	59	55.09	44	66	1.491	0.576	1.944	0.0519480824784757	0.288467313363955	0	0.07	0.0434	0.0434	TRUE	0.0829
FBgn0030576	620	211	202	388	177	188	312	330	288	198	248	230	267.62	310	225	0.721	-0.471	-2.773	0.00555187770939214	0.0576474695408594	0.0056	0.0246	0.0167	0.0167	TRUE	0.1482
FBgn0030577	4	0	0	3	0	0	2	0	0	2	0	0	0.59	1	1	0.786	-0.347	-0.112	0.911015127062518	NA	0	5.3435	5.4257	5.4257	TRUE	1.8571
FBgn0030578	1	1	0	0	0	0	1	2	0	0	0	0	0.34	1	0	0.269	-1.896	-0.505	0.613699402511792	NA	0	9.1562	8.391	8.391	TRUE	0.1721
FBgn0030581	1035	390	332	867	394	407	521	609	473	442	551	499	515.98	534	497	0.928	-0.108	-0.679	0.49691127176254	0.850497443810327	0.0111	0.0189	0.016	0.016	TRUE	0.1612
FBgn0030582	2017	627	723	1807	811	954	1016	980	1030	921	1134	1169	1041.84	1009	1075	1.063	0.088	0.645	0.519057309983471	0.85993747059021	0.0081	0.0159	0.0123	0.0123	TRUE	0.1975
FBgn0030583	60	23	27	100	33	38	30	36	38	51	46	47	41.39	35	48	1.403	0.489	1.465	0.1429857721915	0.512286467598497	0	0.0889	0.054	0.054	TRUE	0.1586
FBgn0030584	695	176	189	588	201	249	350	275	269	300	281	305	296.76	298	295	0.983	-0.025	-0.146	0.883736998196044	0.977523676432273	0.01	0.0235	0.0177	0.0177	TRUE	0.2967
FBgn0030586	12	8	5	19	4	3	6	13	7	10	6	4	7.44	9	7	0.799	-0.323	-0.409	0.682872769718493	0.921034105939525	0	0.4362	0.3095	0.3095	TRUE	0.9953
FBgn0030587	15	6	10	13	7	9	8	9	14	7	10	11	9.77	10	9	0.881	-0.182	-0.27	0.787337886587308	0.951664887479054	0	0.3351	0.2191	0.2191	TRUE	0.4087
FBgn0030588	326	86	134	505	128	219	164	134	191	258	179	268	199.08	163	235	1.444	0.531	2.409	0.0159952052516952	0.131224138964395	0.0306	0.0287	0.0293	0.0293	TRUE	0.4357
FBgn0030589	3	4	2	7	2	2	2	6	3	4	3	2	3.24	4	3	0.913	-0.132	-0.114	0.908985276631616	NA	0	0.9853	0.6253	0.6253	TRUE	0.8864
FBgn0030590	59	29	25	98	34	26	30	45	36	50	48	32	40.01	37	43	1.205	0.269	0.736	0.461733490254262	0.834079638934851	0.0293	0.0916	0.0692	0.0692	TRUE	0.3551
FBgn0030592	37	6	8	34	9	5	19	9	11	17	13	6	12.58	13	12	0.909	-0.138	-0.215	0.829550937738449	0.963158226258197	0.1268	0.2632	0.2142	0.2142	TRUE	0.3219
FBgn0030593	34	12	11	18	6	10	17	19	16	9	8	12	13.56	17	10	0.576	-0.796	-1.416	0.156867768868017	0.53038969278226	0	0.245	0.1462	0.1462	TRUE	0.109
FBgn0030594	40	10	6	35	6	10	20	16	9	18	8	12	13.8	15	13	0.872	-0.198	-0.328	0.743209984475576	0.937910361536407	0.0957	0.241	0.1893	0.1893	TRUE	0.3336
